Source,Target,Type,Weight
A1275,A2983,Undirected,1
A375,A2530,Undirected,1
A4937,A5383,Undirected,1
A1395,A2228,Undirected,1
A1390,A2702,Undirected,1
A1725,A3811,Undirected,1
A278,A5401,Undirected,1
A255,A5144,Undirected,1
A1020,A2871,Undirected,1
A912,A3004,Undirected,1
A2342,A5418,Undirected,1
A3004,A4697,Undirected,2
A1790,A4058,Undirected,8
A1236,A2590,Undirected,1
A2821,A2857,Undirected,1
A2536,A3171,Undirected,1
A1790,A5135,Undirected,1
A285,A917,Undirected,1
A1274,A5064,Undirected,1
A523,A3297,Undirected,1
A508,A5027,Undirected,1
A737,A1768,Undirected,1
A723,A4947,Undirected,1
A415,A1616,Undirected,1
A1236,A3004,Undirected,2
A3004,A3441,Undirected,1
A4117,A4555,Undirected,1
A447,A5397,Undirected,1
A5284,A5297,Undirected,1
A434,A2132,Undirected,1
A3445,A4705,Undirected,1
A4064,A5418,Undirected,1
A1740,A3646,Undirected,1
A915,A1326,Undirected,1
A2304,A2304,Undirected,1
A952,A2324,Undirected,1
A278,A4664,Undirected,1
A385,A1349,Undirected,1
A1898,A2376,Undirected,1
A1831,A4797,Undirected,1
A1983,A4752,Undirected,1
A438,A5401,Undirected,3
A444,A2527,Undirected,1
A3934,A5412,Undirected,1
A2998,A3612,Undirected,1
A3977,A4274,Undirected,1
A2427,A4797,Undirected,1
A1657,A3206,Undirected,1
A1599,A5469,Undirected,1
A3201,A4108,Undirected,5
A1898,A2572,Undirected,2
A1841,A4025,Undirected,1
A1460,A4108,Undirected,1
A459,A2718,Undirected,1
A1727,A2235,Undirected,1
A3050,A4555,Undirected,1
A1815,A1964,Undirected,1
A1576,A3962,Undirected,1
A1618,A1815,Undirected,21
A264,A301,Undirected,1
A3004,A4409,Undirected,4
A904,A4058,Undirected,3
A1439,A2304,Undirected,1
A1275,A1597,Undirected,1
A301,A1348,Undirected,1
A670,A1657,Undirected,1
A570,A4779,Undirected,1
A725,A2430,Undirected,1
A2478,A5072,Undirected,1
A2478,A5027,Undirected,1
A3004,A4694,Undirected,1
A2977,A3595,Undirected,1
A255,A2224,Undirected,1
A3004,A3613,Undirected,2
A3201,A5385,Undirected,1
A455,A2977,Undirected,1
A3004,A3509,Undirected,1
A3630,A4131,Undirected,1
A577,A4705,Undirected,1
