Id,Label
castaway_ref,std_name
2889,wayne marshall
285,betty jackson
1459,jude kelly
2512,sir aaron klug
2718,suggs
2713,sue johnston
1452,joss ackland
1582,leonard rosoman
1256,jan morris
514,countess elizabeth longford
1886,minette walters
51,alan titchmarsh
2344,rod steiger
310,billy connolly
348,brian may
2781,timothy spall
80,alicia markova
2134,philip pullman
2048,paul gambaccini
386,carl djerassi
2006,p d james
2421,rt hon robin cook mp
1741,marguerite wolff
457,christopher ondaatje
2405,rt hon iain duncan smith mp
1392,john malkovich
1618,linton kwesi johnson
2511,sinead cusack
2378,rowan williams
2029,patricia cornwell
973,george foreman
1006,gillian anderson
2157,professor baruch blumberg
2065,paul whitehouse
1155,ian mckellen
512,cornelia parker
969,george clooney
950,gene pitney
2856,vic reeves
1942,nick danziger
476,claude michel schonberg
1547,kristin scott thomas
597,david gilmour
1726,margaret atwood
2367,rory bremner
2151,professor a h halsey
972,george fenton
898,franco zeffirelli
660,derek brown
1828,meera syal
2876,vittorio radice
1766,mark tully
1353,john bishop
569,daniel libeskind
220,barbara taylor bradford
365,bryn terfel
1943,nick hornby
1962,nigella lawson
1113,herbert kretzmer
296,bill cullen
2393,rt hon charles kennedy mp
448,christopher frayling
1293,jeremy clarkson
2538,sir christopher meyer
1100,henry blofeld
2020,pat barker
1936,nicholas grimshaw
835,emmylou harris
2058,paul o grady
1770,martha lane fox
1317,jimmy tarbuck
2687,stephen frears
2044,paul dacre
2411,rt hon lord sainsbury
2663,sister frances dominica
2451,sacha distel
1358,john cale
1462,judith kerr
2566,sir gulam noon
303,bill nighy
2216,ralph kohn
1211,jack vettriano
111,angela gheorghiu
1862,michael morpurgo
1040,graham norton
2077,pen hadow
2590,sir ken adam
1207,jack rosenthal
995,geraldine james
1499,karan bilimoria
677,diana athill
2777,tim rice
2416,rt hon michael howard mp
1138,hugh masekela
1346,joe simpson
139,anne scott james
2424,rt hon sir menzies campbell mp
1204,jack mapanje
1810,matthew pinsent
121,ann leslie
1809,matthew bourne
488,clive stafford smith
2816,tracey emin
331,bobby robson
1369,john fortune
836,engelbert humperdinck
1540,kim cattrall
392,carlos acosta
108,andy mcnab
2458,sam taylor wood
740,dr jonathan miller
2108,peter maxwell davies
