Source,Target,Type,Weight
148,148,Undirected,28
145,145,Undirected,28
963,963,Undirected,28
2520,2520,Undirected,28
2416,2416,Undirected,28
541,541,Undirected,28
2715,2715,Undirected,28
882,882,Undirected,28
2060,2060,Undirected,28
202,202,Undirected,21
2108,2108,Undirected,28
861,861,Undirected,28
1107,1107,Undirected,28
522,522,Undirected,28
1804,1804,Undirected,28
1534,1534,Undirected,28
1523,1523,Undirected,21
2876,2876,Undirected,28
2681,2681,Undirected,28
1346,1346,Undirected,21
2065,2065,Undirected,28
2911,2911,Undirected,28
1015,1015,Undirected,28
90,90,Undirected,28
2326,2326,Undirected,28
969,969,Undirected,28
1317,1317,Undirected,28
391,391,Undirected,28
681,681,Undirected,28
1075,1075,Undirected,28
1204,1204,Undirected,15
2757,2757,Undirected,28
1639,1639,Undirected,28
1884,1884,Undirected,28
285,285,Undirected,21
1996,1996,Undirected,28
2234,2234,Undirected,28
1750,1750,Undirected,21
479,479,Undirected,28
954,954,Undirected,28
1982,1982,Undirected,28
1666,1666,Undirected,28
633,633,Undirected,21
2621,2621,Undirected,28
2334,2334,Undirected,28
796,796,Undirected,28
2515,2515,Undirected,28
1907,1907,Undirected,28
1832,1832,Undirected,28
335,335,Undirected,28
2787,2787,Undirected,28
1071,1071,Undirected,28
2861,2861,Undirected,28
457,457,Undirected,28
1917,1917,Undirected,28
378,378,Undirected,21
2482,2482,Undirected,28
1828,1828,Undirected,28
850,850,Undirected,21
510,510,Undirected,28
776,776,Undirected,28
1480,1480,Undirected,28
2480,2480,Undirected,28
1665,1665,Undirected,28
484,484,Undirected,28
1085,1085,Undirected,28
1013,1013,Undirected,28
1889,1889,Undirected,28
2512,2512,Undirected,28
157,157,Undirected,21
2118,2118,Undirected,28
1040,1040,Undirected,28
2043,2043,Undirected,28
1305,1305,Undirected,28
365,365,Undirected,21
2477,2477,Undirected,28
550,550,Undirected,28
2566,2566,Undirected,28
677,677,Undirected,28
2223,2223,Undirected,21
2832,2832,Undirected,28
1531,1531,Undirected,28
1910,1910,Undirected,15
1758,1758,Undirected,28
749,749,Undirected,28
2679,2679,Undirected,28
549,549,Undirected,28
707,707,Undirected,28
2380,2380,Undirected,21
1619,1619,Undirected,28
280,280,Undirected,28
448,448,Undirected,28
2181,2181,Undirected,28
1501,1501,Undirected,28
2411,2411,Undirected,21
739,739,Undirected,21
2111,2111,Undirected,28
348,348,Undirected,21
1110,1110,Undirected,28
987,987,Undirected,28
836,836,Undirected,28
2903,2903,Undirected,28
915,915,Undirected,15
2772,2772,Undirected,28
151,151,Undirected,28
1950,1950,Undirected,28
1984,1984,Undirected,28
1845,1845,Undirected,28
1943,1943,Undirected,21
896,896,Undirected,28
2740,2740,Undirected,21
935,935,Undirected,28
131,131,Undirected,28
1489,1489,Undirected,28
2699,2699,Undirected,28
2513,2513,Undirected,28
2192,2192,Undirected,28
1511,1511,Undirected,28
973,973,Undirected,28
2696,2696,Undirected,28
1109,1109,Undirected,28
2872,2872,Undirected,120
1299,1299,Undirected,28
2212,2212,Undirected,21
721,721,Undirected,28
1451,1451,Undirected,10
14,14,Undirected,28
1936,1936,Undirected,28
454,454,Undirected,28
2751,2751,Undirected,28
2536,2536,Undirected,28
2236,2236,Undirected,28
737,737,Undirected,28
665,665,Undirected,28
443,443,Undirected,28
989,989,Undirected,28
2171,2171,Undirected,28
636,636,Undirected,28
2519,2519,Undirected,28
1826,1826,Undirected,28
2435,2435,Undirected,28
2503,2503,Undirected,28
1540,1540,Undirected,28
1754,1754,Undirected,15
1145,1145,Undirected,28
597,597,Undirected,28
126,126,Undirected,28
1401,1401,Undirected,28
2358,2358,Undirected,28
711,711,Undirected,28
846,846,Undirected,28
105,105,Undirected,28
1102,1102,Undirected,28
678,678,Undirected,28
950,950,Undirected,28
2235,2235,Undirected,28
47,47,Undirected,28
2584,2584,Undirected,28
2006,2006,Undirected,28
1083,1083,Undirected,28
97,97,Undirected,28
1011,1011,Undirected,28
2508,2508,Undirected,28
2783,2783,Undirected,28
1939,1939,Undirected,28
103,103,Undirected,21
2770,2770,Undirected,28
602,602,Undirected,28
1774,1774,Undirected,28
968,968,Undirected,28
1267,1267,Undirected,28
1191,1191,Undirected,28
