Id,Label
A3004,ludwig van beethoven,"March 10,1996"
A1790,giacomo puccini,"March 15,1996"
A5418,wolfgang amadeus mozart,"March 15,1996"
A1815,giuseppe verdi,"March 22,1996"
A5418,wolfgang amadeus mozart,"March 22,1996"
A1618,franz schubert,"March 29,1996"
A3004,ludwig van beethoven,"March 29,1996"
A3932,pyotr ilyich tchaikovsky,"March 29,1996"
A1326,edward elgar,"April 12,1996"
A1790,giacomo puccini,"April 12,1996"
A1790,giacomo puccini,"April 19,1996"
A3932,pyotr ilyich tchaikovsky,"April 19,1996"
A1618,franz schubert,"May 3,1996"
A2427,johann sebastian bach,"May 3,1996"
A3004,ludwig van beethoven,"May 3,1996"
A5418,wolfgang amadeus mozart,"May 3,1996"
A1326,edward elgar,"May 24,1996"
A1618,franz schubert,"May 24,1996"
A3004,ludwig van beethoven,"May 24,1996"
A1815,giuseppe verdi,"June 7,1996"
A1618,franz schubert,"June 21,1996"
A1815,giuseppe verdi,"June 21,1996"
A2427,johann sebastian bach,"June 28,1996"
A5418,wolfgang amadeus mozart,"June 28,1996"
A5418,wolfgang amadeus mozart,"July 5,1996"
A3932,pyotr ilyich tchaikovsky,"July 12,1996"
A5418,wolfgang amadeus mozart,"July 12,1996"
A2427,johann sebastian bach,"July 26,1996"
A5418,wolfgang amadeus mozart,"July 26,1996"
A3932,pyotr ilyich tchaikovsky,"August 9,1996"
A1326,edward elgar,"August 16,1996"
A5418,wolfgang amadeus mozart,"August 16,1996"
A3004,ludwig van beethoven,"August 23,1996"
A5418,wolfgang amadeus mozart,"August 23,1996"
A1618,franz schubert,"August 30,1996"
A2427,johann sebastian bach,"August 30,1996"
A3004,ludwig van beethoven,"August 30,1996"
A5418,wolfgang amadeus mozart,"August 30,1996"
A3004,ludwig van beethoven,"October 11,1996"
A5418,wolfgang amadeus mozart,"October 11,1996"
A5418,wolfgang amadeus mozart,"November 1,1996"
A1326,edward elgar,"November 8,1996"
A3004,ludwig van beethoven,"November 8,1996"
A5418,wolfgang amadeus mozart,"November 8,1996"
A5418,wolfgang amadeus mozart,"December 27,1996"
A3932,pyotr ilyich tchaikovsky,"January 3,1997"
A2427,johann sebastian bach,"January 12,1997"
A3004,ludwig van beethoven,"January 12,1997"
A5418,wolfgang amadeus mozart,"January 31,1997"
A5418,wolfgang amadeus mozart,"February 9,1997"
A1618,franz schubert,"February 21,1997"
A1815,giuseppe verdi,"February 21,1997"
A2427,johann sebastian bach,"February 21,1997"
A3004,ludwig van beethoven,"February 21,1997"
A1790,giacomo puccini,"March 21,1997"
A3004,ludwig van beethoven,"March 21,1997"
A5418,wolfgang amadeus mozart,"April 6,1997"
A1326,edward elgar,"May 9,1997"
A3004,ludwig van beethoven,"May 9,1997"
A1815,giuseppe verdi,"May 23,1997"
A5418,wolfgang amadeus mozart,"May 30,1997"
A2427,johann sebastian bach,"June 6,1997"
A5418,wolfgang amadeus mozart,"June 6,1997"
A1815,giuseppe verdi,"July 11,1997"
A1815,giuseppe verdi,"July 18,1997"
A5418,wolfgang amadeus mozart,"July 18,1997"
A3004,ludwig van beethoven,"July 25,1997"
A1618,franz schubert,"August 1,1997"
A1618,franz schubert,"August 8,1997"
A1815,giuseppe verdi,"August 8,1997"
A2427,johann sebastian bach,"August 8,1997"
A5418,wolfgang amadeus mozart,"August 8,1997"
A1618,franz schubert,"September 12,1997"
A2427,johann sebastian bach,"September 12,1997"
A3004,ludwig van beethoven,"September 12,1997"
A5418,wolfgang amadeus mozart,"September 12,1997"
A2427,johann sebastian bach,"September 19,1997"
A1326,edward elgar,"September 26,1997"
A1815,giuseppe verdi,"September 26,1997"
A5418,wolfgang amadeus mozart,"September 26,1997"
A3004,ludwig van beethoven,"September 28,1997"
A1326,edward elgar,"October 10,1997"
A5418,wolfgang amadeus mozart,"October 17,1997"
A5418,wolfgang amadeus mozart,"November 7,1997"
A1790,giacomo puccini,"November 14,1997"
A2427,johann sebastian bach,"November 14,1997"
A1618,franz schubert,"November 21,1997"
A1815,giuseppe verdi,"November 21,1997"
A2427,johann sebastian bach,"November 21,1997"
A3004,ludwig van beethoven,"November 21,1997"
A5418,wolfgang amadeus mozart,"November 21,1997"
A3004,ludwig van beethoven,"November 28,1997"
A5418,wolfgang amadeus mozart,"December 5,1997"
A1815,giuseppe verdi,"December 12,1997"
A3004,ludwig van beethoven,"December 19,1997"
A1790,giacomo puccini,"December 26,1997"
A3932,pyotr ilyich tchaikovsky,"January 16,1998"
A1815,giuseppe verdi,"January 23,1998"
A2427,johann sebastian bach,"January 23,1998"
A5418,wolfgang amadeus mozart,"January 23,1998"
A1790,giacomo puccini,"January 30,1998"
A2427,johann sebastian bach,"January 30,1998"
A5418,wolfgang amadeus mozart,"February 6,1998"
A1618,franz schubert,"February 13,1998"
A2427,johann sebastian bach,"February 13,1998"
A3004,ludwig van beethoven,"February 13,1998"
A5418,wolfgang amadeus mozart,"February 13,1998"
A1326,edward elgar,"February 20,1998"
A2427,johann sebastian bach,"March 6,1998"
A5418,wolfgang amadeus mozart,"March 6,1998"
A2427,johann sebastian bach,"March 27,1998"
A3004,ludwig van beethoven,"March 27,1998"
A5418,wolfgang amadeus mozart,"April 17,1998"
A5418,wolfgang amadeus mozart,"April 24,1998"
A1618,franz schubert,"May 1,1998"
A2427,johann sebastian bach,"May 8,1998"
A2427,johann sebastian bach,"May 22,1998"
A5418,wolfgang amadeus mozart,"May 22,1998"
A2427,johann sebastian bach,"June 5,1998"
A1618,franz schubert,"June 12,1998"
A1618,franz schubert,"July 10,1998"
A2427,johann sebastian bach,"July 10,1998"
A3004,ludwig van beethoven,"July 10,1998"
A5418,wolfgang amadeus mozart,"July 10,1998"
A5418,wolfgang amadeus mozart,"July 17,1998"
A2427,johann sebastian bach,"July 24,1998"
A5418,wolfgang amadeus mozart,"July 24,1998"
A3004,ludwig van beethoven,"August 7,1998"
A5418,wolfgang amadeus mozart,"August 21,1998"
A1815,giuseppe verdi,"August 28,1998"
A1790,giacomo puccini,"September 4,1998"
A2427,johann sebastian bach,"September 4,1998"
A1618,franz schubert,"November 6,1998"
A2427,johann sebastian bach,"November 6,1998"
A3004,ludwig van beethoven,"November 8,1998"
A5418,wolfgang amadeus mozart,"November 13,1998"
A1326,edward elgar,"December 11,1998"
A1618,franz schubert,"December 11,1998"
A5418,wolfgang amadeus mozart,"December 11,1998"
A1618,franz schubert,"December 27,1998"
A2427,johann sebastian bach,"December 27,1998"
A5418,wolfgang amadeus mozart,"December 27,1998"
A2427,johann sebastian bach,"January 8,1999"
A3004,ludwig van beethoven,"January 8,1999"
A1326,edward elgar,"January 15,1999"
A1618,franz schubert,"January 15,1999"
A1326,edward elgar,"January 22,1999"
A2427,johann sebastian bach,"January 29,1999"
A3004,ludwig van beethoven,"January 29,1999"
A1618,franz schubert,"February 12,1999"
A2427,johann sebastian bach,"February 12,1999"
A3004,ludwig van beethoven,"February 12,1999"
A5418,wolfgang amadeus mozart,"February 12,1999"
A2427,johann sebastian bach,"February 19,1999"
A1618,franz schubert,"March 12,1999"
A5418,wolfgang amadeus mozart,"March 12,1999"
A2427,johann sebastian bach,"March 19,1999"
A1815,giuseppe verdi,"April 2,1999"
A2427,johann sebastian bach,"April 2,1999"
A3004,ludwig van beethoven,"April 2,1999"
A1790,giacomo puccini,"April 9,1999"
A2427,johann sebastian bach,"April 16,1999"
A3004,ludwig van beethoven,"April 16,1999"
A5418,wolfgang amadeus mozart,"April 16,1999"
A1790,giacomo puccini,"April 23,1999"
A2427,johann sebastian bach,"April 23,1999"
A3004,ludwig van beethoven,"April 23,1999"
A5418,wolfgang amadeus mozart,"April 23,1999"
A3004,ludwig van beethoven,"May 7,1999"
A3004,ludwig van beethoven,"May 14,1999"
A1790,giacomo puccini,"May 21,1999"
A1815,giuseppe verdi,"June 4,1999"
A3004,ludwig van beethoven,"June 4,1999"
A5418,wolfgang amadeus mozart,"June 11,1999"
A3004,ludwig van beethoven,"June 18,1999"
A2427,johann sebastian bach,"June 25,1999"
A5418,wolfgang amadeus mozart,"June 25,1999"
A2427,johann sebastian bach,"July 2,1999"
A1815,giuseppe verdi,"July 9,1999"
A3004,ludwig van beethoven,"July 9,1999"
A5418,wolfgang amadeus mozart,"July 16,1999"
A1790,giacomo puccini,"July 23,1999"
A5418,wolfgang amadeus mozart,"August 6,1999"
A1326,edward elgar,"August 13,1999"
A1618,franz schubert,"August 13,1999"
A3004,ludwig van beethoven,"August 13,1999"
A3932,pyotr ilyich tchaikovsky,"August 13,1999"
A1326,edward elgar,"August 20,1999"
A2427,johann sebastian bach,"August 20,1999"
A3004,ludwig van beethoven,"August 20,1999"
A5418,wolfgang amadeus mozart,"August 20,1999"
A2427,johann sebastian bach,"August 27,1999"
A2427,johann sebastian bach,"November 5,1999"
A3004,ludwig van beethoven,"November 5,1999"
A5418,wolfgang amadeus mozart,"November 5,1999"
A1815,giuseppe verdi,"November 12,1999"
A2427,johann sebastian bach,"November 12,1999"
A5418,wolfgang amadeus mozart,"November 12,1999"
A1815,giuseppe verdi,"December 10,1999"
A3004,ludwig van beethoven,"December 10,1999"
A5418,wolfgang amadeus mozart,"December 10,1999"
A1790,giacomo puccini,"December 17,1999"
A2427,johann sebastian bach,"December 17,1999"
