Unique Identifier,episode_ref,track_name,date,decade,decade_episode,decade_episode_castaway_name,castaway_ref,std_artist,std_name
17379,2173,String Quintet in C major by Franz Schubert,4/6/1970,70,70-107,70-107-sheridan russell,2486,franz schubert,sheridan russell
17380,2173,Suite for Solo Cello No. 3 in C major by Johann Sebastian Bach,4/6/1970,70,70-108,70-108-sheridan russell,2486,johann sebastian bach,sheridan russell
17381,2173,"Après un rêve, Op. 7/1 by Gabriel Fauré",4/6/1970,70,70-109,70-109-sheridan russell,2486,gabriel faure,sheridan russell
17382,2173,"Piano Trio No. 5 in D major, Op. 70/1 'Ghost' by Ludwig van Beethoven",4/6/1970,70,70-110,70-110-sheridan russell,2486,ludwig van beethoven,sheridan russell
17383,2173,Oboe Quartet in F major by Wolfgang Amadeus Mozart,4/6/1970,70,70-111,70-111-sheridan russell,2486,wolfgang amadeus mozart,sheridan russell
17368,2172,Crooked Blues by King Oliver's Creole Jazz Band,4/13/1970,70,70-112,70-112-deryck guyler,671,king oliver,deryck guyler
17369,2172,Barnyard Blues by Original Dixieland Jazz Band,4/13/1970,70,70-113,70-113-deryck guyler,671,original dixieland jazz band,deryck guyler
17370,2172,Miss Otis Regrets by The Mills Brothers,4/13/1970,70,70-114,70-114-deryck guyler,671,the mills brothers,deryck guyler
17371,2172,Home Again by Tommy Handley & Deryck Guyler,4/13/1970,70,70-115,70-115-deryck guyler,671,tommy handley,deryck guyler
17372,2172,September Song by Walter Huston,4/13/1970,70,70-116,70-116-deryck guyler,671,walter huston,deryck guyler
17373,2172,Aria by Johann Sebastian Bach,4/13/1970,70,70-117,70-117-deryck guyler,671,johann sebastian bach,deryck guyler
17374,2172,Jimmy's Blues by Original New Orleans All Stars,4/13/1970,70,70-118,70-118-deryck guyler,671,new orleans,deryck guyler
17375,2172,We Shall Overcome,4/13/1970,70,70-119,70-119-deryck guyler,671,we shall overcome,deryck guyler
17360,2171,Wotan's Farewell (from Die Walküre),4/20/1970,70,70-120,70-120-james lockhart,1245,richard wagner,james lockhart
17361,2171,String Quintet No. 4 in G minor by Wolfgang Amadeus Mozart,4/20/1970,70,70-121,70-121-james lockhart,1245,wolfgang amadeus mozart,james lockhart
17362,2171,Symphony No. 1 in C minor by Johannes Brahms,4/20/1970,70,70-122,70-122-james lockhart,1245,johannes brahms,james lockhart
17363,2171,Ist ein Traum (Act 3 Duet Finale) from Der Rosenkavalier) by Richard Strauss,4/20/1970,70,70-123,70-123-james lockhart,1245,richard strauss,james lockhart
17364,2171,Grand March (from Aida) by Giuseppe Verdi,4/20/1970,70,70-124,70-124-james lockhart,1245,giuseppe verdi,james lockhart
