Id,Label,std_artist
60-193,60-193-professor a c b lovell,johann sebastian bach
60-194,60-194-professor a c b lovell,johannes brahms
60-195,60-195-professor a c b lovell,jean sibelius
60-196,60-196-professor a c b lovell,edward elgar
60-197,60-197-professor a c b lovell,ludwig van beethoven
60-198,60-198-professor a c b lovell,johann sebastian bach
60-199,60-199-julian slade,alfred drake
60-200,60-200-julian slade,philharmonic orchestra
60-201,60-201-julian slade,eleanor drew
60-202,60-202-julian slade,ludwig van beethoven
60-203,60-203-julian slade,wolfgang amadeus mozart
60-204,60-204-julian slade,richard wagner
60-205,60-205-julian slade,george frideric handel
60-206,60-206-julian slade,william shakespeare
60-207,60-207-sir alec guinness,monks of the abbey of st pierre de solesmes
60-208,60-208-sir alec guinness,gabriel faure
60-209,60-209-sir alec guinness,robert schumann
60-210,60-210-sir alec guinness,buddy rich
60-211,60-211-sir alec guinness,joseph haydn
60-212,60-212-sir alec guinness,laurindo almeida
60-213,60-213-sir alec guinness,giuseppe verdi
60-214,60-214-sir alec guinness,ray conniff
60-215,60-215-claudio arrau,franz schubert
60-216,60-216-claudio arrau,maurice ravel
60-217,60-217-claudio arrau,enrique granados
60-218,60-218-claudio arrau,camille saint saens
60-219,60-219-claudio arrau,arnold schoenberg
60-220,60-220-claudio arrau,franz schubert
60-221,60-221-claudio arrau,franz schubert
60-222,60-222-claudio arrau,ludwig van beethoven
60-223,60-223-eddie calvert,norrie paramor his orchestra
60-224,60-224-eddie calvert,edith piaf
60-225,60-225-eddie calvert,foden s band
60-226,60-226-eddie calvert,eartha kitt
60-227,60-227-eddie calvert,harold lang
60-228,60-228-eddie calvert,eddie calvert
60-229,60-229-eddie calvert,doretta morrow
60-230,60-230-eddie calvert,vera lynn
60-231,60-231-c day lewis,johann sebastian bach
60-232,60-232-c day lewis,frédéric chopin
60-233,60-233-c day lewis,giuseppe verdi
60-234,60-234-c day lewis,ludwig van beethoven
60-235,60-235-c day lewis,wolfgang amadeus mozart
60-236,60-236-c day lewis,edward elgar
60-237,60-237-c day lewis,george frideric handel
60-238,60-238-c day lewis,john laurie
60-239,60-239-antal dorati,johann sebastian bach
60-240,60-240-antal dorati,franz schubert
60-241,60-241-antal dorati,izabella nagy imre pallo
60-242,60-242-antal dorati,bela bartok
60-243,60-243-antal dorati,johannes brahms
60-244,60-244-antal dorati,wolfgang amadeus mozart
60-245,60-245-antal dorati,giuseppe verdi
60-246,60-246-antal dorati,ludwig van beethoven
60-247,60-247-johnny morris,bela keler
60-248,60-248-johnny morris,johann strauss ii
60-249,60-249-johnny morris,antonio and his spanish dancers
60-250,60-250-johnny morris,gioachino rossini
60-251,60-251-johnny morris,georges bizet
60-252,60-252-johnny morris,joseph haydn
60-253,60-253-johnny morris,fats waller
60-254,60-254-johnny morris,gioachino rossini
60-255,60-255-lord boothby,sergey rachmaninov
60-256,60-256-lord boothby,richard wagner
60-257,60-257-lord boothby,frederick delius
60-258,60-258-lord boothby,claude debussy
60-259,60-259-lord boothby,richard wagner
60-260,60-260-lord boothby,richard wagner
60-261,60-261-lord boothby,johannes brahms
60-262,60-262-lord boothby,jean sibelius
60-263,60-263-danny blanchflower,al jolson
60-264,60-264-danny blanchflower,caterina valente
60-265,60-265-danny blanchflower,guy lombardo his royal canadians
60-266,60-266-danny blanchflower,peter sellers
60-267,60-267-danny blanchflower,anton rubinstein
60-268,60-268-danny blanchflower,artie shaw
60-269,60-269-danny blanchflower,max jaffa
60-270,60-270-danny blanchflower,judy garland
60-271,60-271-pat suzuki,buddy defranco
60-272,60-272-pat suzuki,jean sibelius
60-273,60-273-pat suzuki,charlie parker
60-274,60-274-pat suzuki,leonard bernstein
60-275,60-275-pat suzuki,jeri southern
60-276,60-276-pat suzuki,sergey rachmaninov
60-277,60-277-pat suzuki,joseph haydn
60-278,60-278-pat suzuki,jimmie lunceford and his orchestra
60-279,60-279-godfrey talbot,giacomo puccini
60-280,60-280-godfrey talbot,richard strauss
60-281,60-281-godfrey talbot,glasgow orpheus choir
60-282,60-282-godfrey talbot,lale andersen
60-283,60-283-godfrey talbot,lisa kirk
60-284,60-284-godfrey talbot,charlie kunz
60-285,60-285-godfrey talbot,john tilley
60-286,60-286-godfrey talbot,sergey rachmaninov
60-287,60-287-paul beard,johann strauss ii
60-288,60-288-paul beard,ludwig van beethoven
60-289,60-289-paul beard,richard strauss
60-290,60-290-paul beard,antonin dvorak
60-291,60-291-paul beard,georges bizet
60-292,60-292-paul beard,hector berlioz
60-293,60-293-paul beard,johannes brahms
60-294,60-294-paul beard,hector berlioz
60-295,60-295-gladys young,edvard grieg
60-296,60-296-gladys young,william shakespeare
60-297,60-297-gladys young,pyotr ilyich tchaikovsky
60-298,60-298-gladys young,winston churchill
60-299,60-299-gladys young,gervase elwes
60-300,60-300-gladys young,william shakespeare
60-301,60-301-gladys young,stanley holloway
60-302,60-302-gladys young,robert schumann
60-303,60-303-michaela armand denis,sergey rachmaninov
60-304,60-304-michaela armand denis,paul dukas
60-305,60-305-michaela armand denis,george gershwin
60-306,60-306-michaela armand denis,anton karas
