Source,Target,Type,Weight
10-1334,10-1537,Undirected,1
10-628,10-688,Undirected,1
40-85,50-2247,Undirected,1
50-2414,50-2793,Undirected,1
10-671,10-1115,Undirected,1
50-1284,50-1595,Undirected,1
50-931,10-2862,Undirected,1
50-1235,50-2267,Undirected,1
50-1677,10-2307,Undirected,1
10-1211,20-43,Undirected,1
50-1096,50-1127,Undirected,1
10-2486,10-2899,Undirected,1
40-74,10-368,Undirected,1
50-375,50-1422,Undirected,1
50-1686,50-2074,Undirected,1
50-310,50-2883,Undirected,1
10-1154,10-2774,Undirected,1
50-1363,50-2517,Undirected,1
50-1236,10-2727,Undirected,1
40-8,10-1487,Undirected,1
50-1348,50-2562,Undirected,1
50-2698,10-2575,Undirected,1
50-2160,10-1067,Undirected,1
50-2275,10-895,Undirected,1
50-976,50-1122,Undirected,1
10-208,10-928,Undirected,1
10-319,10-2859,Undirected,1
50-1205,50-2483,Undirected,1
50-2552,50-3119,Undirected,1
50-2093,50-3127,Undirected,1
50-1425,10-2141,Undirected,1
50-2945,10-390,Undirected,1
50-595,50-981,Undirected,1
50-1910,10-2469,Undirected,1
40-402,10-1481,Undirected,1
50-487,50-571,Undirected,1
50-632,50-2474,Undirected,1
10-22,10-2605,Undirected,1
50-2931,10-2167,Undirected,1
40-441,50-2955,Undirected,1
50-3057,10-519,Undirected,1
40-385,10-608,Undirected,1
50-1919,10-2813,Undirected,1
50-1155,50-1233,Undirected,1
40-509,50-2474,Undirected,1
50-2170,50-2683,Undirected,1
50-963,10-2774,Undirected,1
50-2220,50-2913,Undirected,1
50-315,50-979,Undirected,1
40-424,50-453,Undirected,1
10-502,10-1803,Undirected,1
40-489,10-902,Undirected,1
50-915,50-2314,Undirected,1
50-1520,50-2784,Undirected,1
50-953,50-1973,Undirected,1
10-1154,10-1192,Undirected,1
50-2319,10-617,Undirected,1
10-65,10-1803,Undirected,1
50-2685,10-625,Undirected,1
50-3040,10-2409,Undirected,1
50-1630,10-527,Undirected,1
50-3058,50-3200,Undirected,1
50-2063,10-1077,Undirected,1
50-2871,10-2998,Undirected,1
50-1187,50-2262,Undirected,1
10-1633,10-2998,Undirected,1
50-3038,10-120,Undirected,1
40-127,50-1924,Undirected,1
10-1312,10-2883,Undirected,1
10-1247,10-2020,Undirected,1
50-1919,50-2094,Undirected,1
50-1158,50-2352,Undirected,1
50-2364,10-956,Undirected,1
50-1599,10-1721,Undirected,1
10-1078,20-200,Undirected,1
50-1397,50-1896,Undirected,1
50-667,50-1817,Undirected,1
50-470,50-2536,Undirected,1
50-445,50-2220,Undirected,1
50-932,50-2364,Undirected,1
40-301,10-993,Undirected,1
50-316,50-2126,Undirected,1
50-1442,10-608,Undirected,1
20-74,20-110,Undirected,1
10-411,10-2177,Undirected,1
50-2071,50-2211,Undirected,1
10-2206,10-2345,Undirected,1
10-782,10-1697,Undirected,1
50-1478,10-882,Undirected,1
10-1490,10-1731,Undirected,1
50-89,50-552,Undirected,1
50-635,50-963,Undirected,1
10-379,10-2608,Undirected,1
40-238,50-1409,Undirected,1
50-1915,10-1115,Undirected,1
50-2171,10-794,Undirected,1
10-661,10-1027,Undirected,1
50-1290,10-2252,Undirected,1
40-350,50-483,Undirected,1
50-418,10-547,Undirected,1
50-3054,10-914,Undirected,1
50-2321,50-3049,Undirected,1
50-3062,10-1632,Undirected,1
10-121,10-2606,Undirected,1
50-770,50-2396,Undirected,1
10-882,20-106,Undirected,1
50-2192,10-769,Undirected,1
50-2041,50-2365,Undirected,1
50-448,10-1633,Undirected,1
50-665,50-1391,Undirected,1
40-79,50-134,Undirected,1
50-1226,50-1524,Undirected,1
10-902,10-3001,Undirected,1
10-2821,20-184,Undirected,1
50-2146,10-756,Undirected,1
50-2011,50-2641,Undirected,1
10-257,10-1665,Undirected,1
50-1973,10-1925,Undirected,1
50-664,10-2524,Undirected,1
40-491,50-2005,Undirected,1
50-530,50-911,Undirected,1
50-1423,50-1747,Undirected,1
50-2678,10-2761,Undirected,1
50-145,50-3142,Undirected,1
50-1645,50-1676,Undirected,1
50-2222,50-2694,Undirected,1
50-375,50-2102,Undirected,1
50-482,10-1158,Undirected,1
50-1144,10-2694,Undirected,1
50-2219,50-2793,Undirected,1
50-2381,50-3116,Undirected,1
10-1629,10-1883,Undirected,1
10-708,10-1632,Undirected,1
50-2146,10-977,Undirected,1
50-1723,10-955,Undirected,1
10-836,10-2798,Undirected,1
50-2115,50-2918,Undirected,1
50-1453,50-2298,Undirected,1
10-590,10-1722,Undirected,1
50-2557,10-971,Undirected,1
50-1003,50-1878,Undirected,1
40-173,10-1666,Undirected,1
50-296,50-1932,Undirected,1
10-1465,10-2393,Undirected,1
10-1009,10-1045,Undirected,1
50-1151,50-2719,Undirected,1
